gsis_id,role
00-0037517,LB
00-0037521,S
00-0037522,S
00-0037525,UNKNOWN
00-0037526,LB
00-0037527,LB
00-0037535,CB
00-0037536,CB
00-0037539,UNKNOWN
00-0037544,LB
00-0037545,UNKNOWN
00-0037549,CB
00-0037560,LB
00-0037561,S
00-0037569,UNKNOWN
00-0037573,CB
00-0037578,S
00-0037585,IDL
00-0037587,LB
00-0037593,CB
00-0037596,LB
00-0037602,EDGE
00-0037603,IDL
00-0037611,EDGE
00-0037614,UNKNOWN
00-0037615,LB
00-0037616,S
00-0037617,UNKNOWN
00-0037621,IDL
00-0037627,IDL
00-0037637,EDGE
00-0037638,EDGE
00-0037639,LB
00-0037660,IDL
00-0037661,CB
00-0037662,IDL
00-0037665,EDGE
00-0037666,UNKNOWN
00-0037667,S
00-0037741,UNKNOWN
00-0037744,UNKNOWN
00-0037747,CB
00-0037751,EDGE
00-0037752,S
00-0037753,CB
00-0037756,IDL
00-0037759,EDGE
00-0037760,EDGE
00-0037801,UNKNOWN
00-0037808,EDGE
00-0037810,LB
00-0037811,LB
00-0037813,LB
00-0037815,EDGE
00-0037819,LB
00-0037823,LB
00-0037826,EDGE
00-0037832,IDL
00-0037833,CB
00-0037839,CB
00-0037841,S
00-0037842,CB
00-0037843,EDGE
00-0037844,S
00-0037984,CB
00-0038038,S
00-0038039,CB
00-0038043,CB
00-0038091,S
00-0038099,IDL
00-0038100,S
00-0038101,CB
00-0038105,CB
00-0038106,IDL
